id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
68,7.7,0.66,0.1,1.9,0.073,5.0,21.0,0.9968,3.47,0.62,9.8,6.0
69,6.8,0.6,0.03,1.6,0.0819999999999999,10.0,22.0,0.99538,3.56,0.56,11.4,6.0
70,7.3,0.43,0.11,2.0,0.077,5.0,15.0,0.9956,3.31,0.56,12.0,7.0
71,7.2,0.615,0.0,1.8,0.084,14.0,25.0,0.99648,3.34,0.6,9.3,5.0
72,7.8,0.645,0.1,2.0,0.081,6.0,13.0,0.9957,3.37,0.57,9.5,7.0
73,7.0,0.59,0.08,2.6,0.072,12.0,34.0,0.99655,3.36,0.64,11.5,6.0
74,9.9,0.45,0.34,2.6,0.0969999999999999,9.0,31.0,0.9972,3.21,0.55,9.4,6.0
75,10.4,0.45,0.45,2.7,0.086,7.0,28.0,0.9973,3.29,0.62,11.9,6.0
76,8.8,0.65,0.24,2.2,0.07,18.0,50.0,0.9976,3.22,0.64,10.0,5.0
77,7.3,0.35,0.39,2.1,0.0819999999999999,19.0,50.0,0.99774,3.25,0.73,9.8,5.0
78,7.6,0.63,0.0,2.0,0.074,29.0,46.0,0.9955,3.48,0.49,12.8,7.0
79,6.6,0.58,0.14,2.0,0.08,18.0,38.0,0.99562,3.43,0.54,9.5,5.0
80,7.6,0.52,0.24,1.8,0.094,32.0,54.0,0.9966,3.19,0.66,9.95,6.0
81,8.5,0.4,0.31,1.7,0.0969999999999999,12.0,29.0,0.99258,3.37,0.57,10.5,6.0
82,8.3,0.37,0.35,1.8,0.081,24.0,58.0,0.99668,3.42,0.9,11.3,7.0
83,9.0,0.27,0.43,3.0,0.079,6.0,16.0,0.9969,3.4,0.45,11.4,6.0
84,7.0,0.62,0.06,2.7,0.084,26.0,42.0,0.99562,3.29,0.59,10.0,5.0
85,8.1,0.39,0.23,2.2,0.074,13.0,58.0,0.9968,3.26,0.69,9.5,6.0
86,6.7,0.59,0.12,1.8,0.083,10.0,31.0,0.99576,3.32,0.59,12.3,8.0
87,9.4,0.55,0.39,2.2,0.086,18.0,81.0,0.9976,3.25,0.56,9.5,5.0
88,7.7,0.38,0.49,1.9,0.088,5.0,12.0,0.9973,3.39,0.76,12.3,8.0
89,8.0,0.69,0.09,2.6,0.065,15.0,32.0,0.9981,3.47,0.57,10.9,7.0
90,8.4,0.66,0.04,1.8,0.091,12.0,31.0,0.9968,3.38,0.54,9.4,5.0
91,7.7,0.58,0.14,2.0,0.074,18.0,40.0,0.9956,3.27,0.48,9.4,5.0
92,7.4,0.43,0.31,2.3,0.074,11.0,34.0,0.99504,3.39,0.6,12.8,7.0
93,7.8,0.5,0.0,1.7,0.071,4.0,15.0,0.99448,3.47,0.56,9.0,5.0
94,7.0,0.66,0.03,1.8,0.07,14.0,35.0,0.99648,3.16,0.61,9.3,6.0
95,7.1,0.58,0.01,2.7,0.077,10.0,37.0,0.99572,3.38,0.54,10.0,5.0
96,8.2,0.42,0.39,1.7,0.0819999999999999,11.0,44.0,0.99504,3.26,0.62,9.5,5.0
97,7.4,0.48,0.15,2.3,0.079,10.0,27.0,0.99586,3.38,0.6,11.3,6.0
98,7.9,0.52,0.0,1.8,0.076,12.0,45.0,0.9988,3.52,0.68,9.8,5.0
99,6.8,0.58,0.0,1.6,0.087,13.0,35.0,0.9964,3.28,0.61,9.6,5.0
100,9.9,0.35,0.39,1.6,0.078,9.0,24.0,0.9976,3.16,0.62,9.9,5.0
101,6.9,0.68,0.0,2.4,0.063,9.0,22.0,0.99562,3.26,0.62,10.1,5.0
102,7.6,0.54,0.08,2.1,0.072,19.0,42.0,0.9967,3.38,0.61,10.5,6.0
103,9.8,0.3,0.42,1.8,0.415,22.0,52.0,0.99734,3.22,0.87,10.9,5.0
104,8.6,0.36,0.3,2.1,0.0819999999999999,19.0,49.0,0.9966,3.2,0.55,9.5,5.0
105,9.9,0.61,0.48,2.9,0.079,22.0,42.0,0.9986,3.18,0.59,9.9,5.0
106,7.2,0.67,0.1,2.5,0.074,12.0,28.0,0.9965,3.53,0.74,11.9,7.0
107,9.1,0.36,0.6,2.0,0.114,21.0,106.0,0.9969,3.32,0.58,9.6,5.0
108,9.2,0.66,0.22,2.7,0.076,13.0,81.0,0.9956,3.15,0.54,9.8,5.0
109,7.1,0.52,0.01,2.7,0.071,12.0,31.0,0.9968,3.38,0.56,10.5,5.0
110,6.6,0.54,0.22,1.9,0.0559999999999999,13.0,26.0,0.99603,3.28,0.49,9.4,5.0
111,7.6,0.61,0.17,1.8,0.072,15.0,31.0,0.99498,3.39,0.63,9.3,6.0
112,12.5,0.43,0.35,2.1,0.084,27.0,58.0,0.9983,3.23,0.72,10.3,6.0
113,7.7,0.33,0.45,2.6,0.078,5.0,14.0,0.99648,3.23,0.6,9.5,5.0
114,9.2,0.38,0.42,2.6,0.0969999999999999,9.0,29.0,0.99652,3.27,0.57,11.3,6.0
115,8.9,0.56,0.19,2.3,0.081,27.0,61.0,0.9963,3.21,0.66,9.7,5.0
116,7.0,0.46,0.21,1.9,0.064,6.0,20.0,0.99728,3.39,0.66,9.2,5.0
117,6.4,0.54,0.01,2.0,0.07,10.0,26.0,0.997,3.42,0.62,9.8,5.0
118,10.9,0.46,0.4,2.3,0.076,6.0,14.0,0.9972,3.2,0.57,10.1,4.0
119,7.9,0.57,0.17,2.0,0.073,11.0,16.0,0.99258,3.39,0.63,10.6,6.0
120,7.8,0.59,0.05,2.0,0.07,28.0,61.0,0.9972,3.3,0.55,9.6,6.0
121,7.8,0.59,0.03,2.6,0.061,13.0,38.0,0.9966,3.47,0.74,10.8,6.0
122,9.0,0.45,0.2,1.7,0.114,16.0,35.0,0.99584,3.31,0.62,9.4,5.0
123,9.2,0.61,0.24,1.7,0.074,9.0,23.0,0.9982,3.35,0.77,10.5,5.0
124,6.8,0.66,0.0,2.0,0.071,15.0,62.0,0.9962,3.44,0.8,10.7,6.0
125,8.1,0.6,0.23,2.4,0.084,8.0,24.0,0.99668,3.33,0.62,9.9,5.0
126,8.2,0.57,0.21,2.5,0.073,5.0,12.0,0.99702,3.3,0.54,9.0,7.0
127,8.4,0.64,0.26,2.0,0.0819999999999999,17.0,65.0,0.9988,3.21,0.59,9.4,6.0
128,8.8,0.41,0.49,2.6,0.08,10.0,18.0,0.99656,3.21,0.59,9.3,5.0
129,7.3,0.5,0.0,1.7,0.078,12.0,59.0,0.997,3.44,0.64,9.5,5.0
130,7.6,0.59,0.04,2.0,0.0819999999999999,8.0,18.0,0.9982,3.42,0.62,9.3,6.0
131,7.1,0.61,0.01,1.7,0.071,4.0,17.0,0.9994,3.19,0.64,10.4,6.0
132,7.5,0.645,0.02,1.7,0.069,10.0,85.0,0.9972,3.36,0.57,9.2,6.0
133,7.9,0.12,0.46,2.5,0.081,12.0,19.0,0.99652,3.08,0.86,9.4,5.0
134,7.1,0.36,0.34,2.5,0.074,16.0,42.0,0.9978,3.34,0.57,9.5,6.0
135,8.9,0.59,0.04,1.9,0.078,23.0,43.0,0.9994,3.46,0.56,9.8,6.0
136,7.9,0.725,0.0,2.0,0.074,11.0,38.0,0.9958,3.56,0.52,9.3,5.0
137,11.3,0.39,0.49,2.1,0.071,8.0,18.0,0.9981,3.22,0.93,9.5,5.0
138,6.7,0.62,0.01,2.0,0.086,15.0,43.0,0.99531,3.3,0.57,10.3,5.0
139,6.7,0.58,0.03,2.1,0.06,32.0,133.0,0.9986,3.39,0.57,9.5,6.0
140,8.9,0.52,0.24,2.1,0.075,4.0,9.0,0.9997,3.4,0.53,9.0,5.0
141,7.3,0.53,0.05,2.2,0.08,5.0,16.0,0.9972,3.41,0.84,9.6,6.0
142,7.1,0.6,0.02,1.8,0.08,8.0,17.0,0.99593,3.36,0.57,10.3,5.0
143,6.1,0.67,0.08,2.0,0.077,19.0,52.0,0.99542,3.39,0.68,11.5,5.0
144,7.5,0.3,0.3,2.1,0.074,41.0,72.0,0.9972,3.31,0.6,9.6,5.0
145,7.4,0.46,0.0,1.4,0.0819999999999999,13.0,28.0,0.9966,3.44,0.54,9.5,5.0
146,7.2,0.58,0.1,2.3,0.084,13.0,24.0,0.9976,3.31,0.62,9.4,6.0
147,10.6,0.6,0.27,1.6,0.075,6.0,11.0,0.9987,3.34,0.65,10.8,6.0
148,8.7,0.49,0.11,2.4,0.071,4.0,15.0,0.9973,3.58,0.67,12.0,6.0
149,9.2,0.28,0.34,2.1,0.081,11.0,25.0,0.9984,3.37,0.66,11.4,6.0
150,8.5,0.25,0.49,2.3,0.063,14.0,29.0,0.99588,3.04,0.52,9.5,5.0
151,8.3,0.36,0.27,2.3,0.08,5.0,14.0,0.9966,3.17,0.62,9.5,6.0
152,12.4,0.37,0.49,2.6,0.086,6.0,17.0,0.9982,3.39,0.61,12.0,5.0
153,8.0,0.5,0.24,1.9,0.044,26.0,45.0,0.9983,3.24,0.56,9.7,6.0
154,6.9,0.58,0.08,1.8,0.074,15.0,34.0,0.9968,3.41,0.56,9.4,5.0
155,8.3,0.32,0.4,1.4,0.084,14.0,43.0,0.99467,3.22,0.62,12.3,7.0
156,7.5,0.62,0.02,2.3,0.05,11.0,24.0,0.99704,3.38,0.71,11.0,6.0
157,8.8,0.38,0.26,1.9,0.084,18.0,40.0,0.9956,3.07,0.48,9.5,6.0
158,6.6,0.62,0.0,2.1,0.083,17.0,31.0,0.9962,3.65,0.6,9.4,6.0
159,8.9,0.28,0.42,2.1,0.065,5.0,16.0,0.99448,3.22,0.56,12.4,6.0
160,7.8,0.43,0.49,2.2,0.064,11.0,23.0,0.99476,3.17,0.81,11.0,5.0
161,8.3,0.42,0.3,2.2,0.095,12.0,47.0,0.9974,3.32,0.77,9.4,5.0
162,8.8,0.74,0.2,1.9,0.093,6.0,17.0,0.99498,3.19,0.55,11.0,7.0
163,6.7,0.64,0.02,2.6,0.05,3.0,20.0,0.9976,3.44,0.54,10.0,6.0
164,7.7,0.43,0.54,1.8,0.0819999999999999,17.0,41.0,0.99504,3.16,0.63,9.5,6.0
165,8.9,0.65,0.17,1.8,0.093,15.0,28.0,0.99458,3.28,0.53,11.1,5.0
166,7.5,0.5,0.05,2.0,0.076,8.0,18.0,0.9973,3.26,0.56,10.2,6.0
167,6.1,0.67,0.06,2.1,0.072,16.0,119.0,0.9983,3.44,0.57,9.8,5.0
168,9.2,0.48,0.24,1.8,0.092,6.0,28.0,0.9968,3.3,0.57,9.8,5.0
169,7.0,0.57,0.02,2.3,0.089,7.0,28.0,0.9972,3.36,0.58,9.3,5.0
170,8.4,0.49,0.17,2.5,0.0819999999999999,18.0,28.0,0.9967,3.24,0.61,9.4,5.0
171,8.9,0.64,0.29,2.6,0.078,12.0,64.0,0.9966,3.32,0.77,9.7,5.0
172,7.5,0.69,0.0,2.4,0.078,9.0,51.0,0.9962,3.53,0.82,12.3,7.0
173,8.2,0.36,0.32,1.4,0.073,18.0,50.0,0.9974,3.35,0.6,9.5,6.0
174,8.8,0.52,0.24,1.4,0.085,17.0,35.0,0.997,3.28,0.62,9.5,5.0
175,10.1,0.56,0.49,2.4,0.074,6.0,28.0,0.9994,3.18,0.71,10.0,6.0
176,7.9,0.645,0.07,2.4,0.072,19.0,28.0,0.99745,3.39,0.56,11.3,7.0
177,6.3,0.39,0.24,2.7,0.07,10.0,54.0,0.9988,3.54,0.52,9.5,6.0
178,8.3,0.33,0.29,2.8,0.064,14.0,36.0,0.99418,3.4,0.75,10.3,4.0
179,6.9,0.58,0.05,1.5,0.063,17.0,26.0,0.998,3.3,0.61,11.0,7.0
180,6.3,0.6,0.0,2.0,0.0969999999999999,12.0,20.0,0.9972,3.43,0.6,9.4,5.0
181,7.5,0.46,0.13,2.3,0.078,5.0,30.0,0.9964,3.39,0.56,9.5,6.0
182,8.5,0.62,0.4,2.1,0.1009999999999999,26.0,66.0,0.9973,3.21,0.61,9.8,5.0
183,7.1,0.55,0.03,1.6,0.0819999999999999,19.0,45.0,0.9988,3.38,0.68,9.8,5.0
184,7.9,0.58,0.02,2.0,0.078,10.0,44.0,0.9957,3.51,0.78,9.7,6.0
185,6.3,0.58,0.02,2.1,0.063,4.0,10.0,0.99652,3.43,0.56,11.4,7.0
186,7.5,0.48,0.0,2.1,0.066,6.0,23.0,0.99586,3.41,0.58,11.3,7.0
187,7.7,0.35,0.32,2.1,0.071,18.0,31.0,0.99572,3.21,0.89,9.6,5.0
188,9.6,0.39,0.24,2.4,0.08,11.0,38.0,0.99576,3.19,0.58,10.3,7.0
189,8.0,0.59,0.23,2.2,0.084,5.0,23.0,0.9962,3.12,0.59,9.5,5.0
190,7.6,0.52,0.08,2.7,0.078,5.0,15.0,0.9978,3.29,0.54,9.9,6.0
191,7.7,0.39,0.26,2.1,0.079,5.0,19.0,0.9976,3.29,0.57,9.2,5.0
192,7.2,0.69,0.09,2.1,0.085,6.0,12.0,0.99562,3.31,0.7,9.7,4.0
193,7.2,0.6,0.0,3.0,0.066,25.0,119.0,0.9955,3.61,0.77,9.5,6.0
194,15.0,0.31,0.49,3.6,0.077,10.0,17.0,0.9963,3.33,0.57,11.2,7.0
195,9.1,0.62,0.26,1.9,0.062,39.0,61.0,0.9963,3.25,0.56,9.7,5.0
196,7.0,0.59,0.04,2.1,0.059,6.0,23.0,0.9986,3.36,0.6,9.0,5.0
197,9.7,0.32,0.49,2.0,0.074,7.0,18.0,0.9972,3.17,0.7,10.5,5.0
198,10.7,0.38,0.49,2.4,0.067,5.0,12.0,0.9958,3.28,0.58,9.8,5.0
199,7.7,0.73,0.05,2.3,0.07,17.0,44.0,0.995,3.36,0.55,10.3,5.0
200,7.3,0.49,0.39,3.5,0.077,10.0,21.0,0.9971,3.29,0.52,12.0,7.0
201,7.3,0.66,0.12,2.5,0.099,32.0,47.0,0.99551,3.22,0.48,10.7,5.0
202,7.1,0.58,0.0,2.0,0.09,21.0,65.0,0.9988,3.35,0.57,9.5,7.0
203,5.7,0.31,0.4,2.2,0.07,12.0,45.0,0.99467,3.43,0.57,10.8,6.0
204,10.4,0.28,0.61,2.2,0.073,16.0,44.0,0.9988,3.28,0.8,9.7,5.0
205,7.8,0.38,0.24,1.8,0.075,5.0,20.0,0.9994,3.33,0.6,10.1,5.0
206,6.6,0.65,0.01,2.0,0.077,14.0,31.0,0.99572,3.45,0.54,12.2,6.0
207,7.2,0.6,0.0,1.6,0.061,12.0,81.0,0.99668,3.26,0.56,9.7,5.0
208,8.2,0.31,0.5,2.1,0.106,8.0,21.0,0.9988,3.37,0.6,9.2,6.0
209,6.8,0.63,0.0,2.6,0.078,14.0,58.0,0.99586,3.32,0.49,11.4,5.0
210,7.8,0.58,0.02,2.1,0.086,5.0,15.0,0.9965,3.47,0.56,10.7,6.0
211,6.8,0.685,0.17,2.1,0.079,29.0,42.0,0.99472,3.41,0.52,12.3,7.0
212,7.8,0.39,0.09,2.8,0.095,18.0,37.0,0.99686,3.45,0.53,10.8,7.0
213,7.5,0.49,0.24,2.2,0.095,19.0,44.0,0.9983,3.17,0.57,10.5,7.0
214,8.3,0.27,0.33,2.3,0.075,5.0,10.0,0.9972,3.32,0.68,10.4,6.0
215,6.6,0.58,0.02,2.4,0.076,14.0,28.0,0.9964,3.22,0.56,11.6,7.0
216,7.0,0.59,0.26,2.8,0.079,8.0,28.0,0.9964,3.28,0.61,10.0,8.0
217,7.9,0.3,0.37,2.3,0.065,6.0,21.0,0.9974,3.32,0.64,9.4,5.0
218,8.2,0.39,0.26,1.9,0.078,10.0,47.0,0.99613,3.38,0.63,10.3,6.0
219,8.5,0.27,0.41,1.7,0.081,12.0,46.0,0.9955,3.32,0.57,10.4,6.0
220,6.9,0.6,0.03,2.2,0.0819999999999999,12.0,77.0,0.99558,3.39,0.57,11.9,5.0
221,6.5,0.52,0.29,2.4,0.066,16.0,72.0,0.99458,3.36,0.6,9.8,6.0
222,7.9,0.645,0.0,2.2,0.077,6.0,12.0,0.9964,3.43,0.69,9.5,6.0
223,6.8,0.5,0.08,1.4,0.079,9.0,19.0,0.99648,3.35,0.59,10.0,6.0
224,11.6,0.4,0.5,2.4,0.08,13.0,43.0,0.9985,3.3,0.44,9.8,5.0
225,6.6,0.57,0.04,2.6,0.1,21.0,51.0,0.9986,3.54,0.54,11.0,7.0
226,8.1,0.31,0.34,2.0,0.075,14.0,38.0,0.9982,3.47,0.76,12.4,6.0
227,8.8,0.36,0.38,2.0,0.077,9.0,42.0,0.9964,3.27,0.78,10.4,6.0
228,7.3,0.645,0.0,1.4,0.086,13.0,31.0,0.99734,3.36,0.77,10.2,5.0
229,11.6,0.24,0.49,2.3,0.081,21.0,54.0,0.9978,3.23,1.95,10.9,6.0
230,8.6,0.36,0.51,2.0,0.078,33.0,131.0,0.9976,3.15,1.13,9.3,5.0
231,9.6,0.46,0.32,2.5,0.072,19.0,49.0,0.9973,3.2,0.78,9.7,5.0
232,6.9,0.59,0.15,2.4,0.078,15.0,32.0,0.99685,3.35,0.55,9.9,5.0
233,5.6,0.4,0.32,2.4,0.088,5.0,10.0,0.99489,3.36,0.72,10.0,6.0
234,6.8,0.55,0.15,2.6,0.086,18.0,86.0,0.9966,3.12,0.69,9.6,5.0
235,7.1,0.59,0.02,4.2,0.088,14.0,31.0,0.997,3.54,0.59,10.4,4.0
236,9.9,0.43,0.32,2.1,0.065,9.0,31.0,0.9983,3.12,0.59,9.8,5.0
237,7.2,0.39,0.31,1.8,0.092,17.0,42.0,0.9986,3.18,0.59,9.4,5.0
238,7.3,0.5,0.26,2.3,0.0819999999999999,9.0,35.0,0.9988,3.52,0.6,9.9,5.0
239,7.2,0.27,0.2,1.9,0.074,15.0,49.0,0.99632,3.49,0.64,10.4,6.0
240,11.9,0.56,0.21,4.3,0.078,16.0,45.0,0.9974,3.16,0.59,12.3,7.0
241,9.2,0.42,0.39,2.5,0.0559999999999999,20.0,44.0,0.9983,3.3,0.54,11.7,5.0
242,7.3,0.63,0.21,2.3,0.063,24.0,43.0,0.9972,3.29,0.54,9.0,5.0
243,11.9,0.3,0.46,2.1,0.063,5.0,15.0,0.99688,3.39,0.84,10.7,5.0
244,7.1,0.37,0.14,1.7,0.084,31.0,68.0,0.9958,3.44,0.77,10.1,6.0
245,6.9,0.57,0.02,2.7,0.068,15.0,42.0,0.99523,3.35,0.49,9.4,5.0
246,10.9,0.41,0.64,2.3,0.078,20.0,47.0,0.9991,3.22,0.73,12.2,7.0
247,10.2,0.38,0.47,2.1,0.078,16.0,50.0,1.00242,3.17,0.52,12.8,8.0
248,7.1,0.58,0.26,2.1,0.074,8.0,23.0,0.9983,3.35,0.58,9.5,5.0
249,9.1,0.33,0.48,2.8,0.08,15.0,47.0,0.9962,3.4,0.58,9.4,5.0
250,7.0,0.74,0.06,1.6,0.08,7.0,14.0,0.99546,3.26,0.53,9.6,5.0
251,8.9,0.41,0.21,2.0,0.074,20.0,53.0,0.9971,3.43,0.56,9.5,5.0
252,7.1,0.34,0.24,2.3,0.098,7.0,22.0,0.9986,3.2,0.58,9.5,5.0
253,7.9,0.49,0.0,1.9,0.078,12.0,44.0,0.99702,3.37,0.6,9.5,5.0
254,8.6,0.54,0.25,2.0,0.086,16.0,96.0,0.9963,3.26,0.62,9.9,5.0
255,7.4,0.62,0.03,1.7,0.0969999999999999,9.0,18.0,0.9976,3.43,0.54,9.8,4.0
256,10.2,0.62,0.24,4.4,0.0819999999999999,19.0,50.0,0.9994,3.5,0.55,12.8,8.0
257,7.5,0.57,0.23,2.4,0.072,15.0,28.0,0.99552,3.17,0.54,10.9,6.0
258,7.0,0.35,0.14,1.9,0.076,14.0,46.0,0.9976,3.61,0.62,11.3,7.0
259,8.8,0.42,0.44,2.2,0.078,6.0,11.0,0.9988,3.36,0.58,9.4,5.0
260,9.9,0.33,0.42,2.2,0.077,12.0,44.0,0.9972,3.19,0.81,9.2,5.0
261,7.1,0.57,0.1,2.2,0.08,6.0,16.0,0.997,3.44,0.65,10.4,6.0
262,8.7,0.38,0.51,2.2,0.087,10.0,47.0,0.9994,3.16,0.64,11.8,6.0
263,12.4,0.37,0.48,2.2,0.0819999999999999,6.0,26.0,0.9982,3.17,0.53,9.2,5.0
264,9.9,0.645,0.2,2.1,0.08,8.0,16.0,0.99655,3.33,0.55,9.4,5.0
265,7.2,0.6,0.0,1.8,0.0559999999999999,27.0,58.0,0.99648,3.39,0.52,9.2,6.0
266,8.3,0.67,0.21,2.0,0.077,23.0,43.0,0.9984,3.38,0.55,11.6,6.0
267,11.9,0.36,0.44,1.7,0.063,13.0,50.0,1.0003,3.16,0.69,9.5,5.0
268,7.4,0.78,0.13,2.1,0.074,10.0,21.0,0.9946,3.43,0.65,12.6,7.0
